id;name;phone;address
1;at in sniff;(401) 656-8379 x4452;moment uselessly
2;deeply;1-319-462-6165 x88614;habit gah about
3;wearily demonstrate;931-723-1149 x54969;marimba clueless
4;drat;(634) 527-0145;deafening next
5;into;(334) 496-5276 x552;serpentine unaccountably self-assured
6;better close vein;460.421.3429 x03459;pfft
7;whoa plump mockingly;781.642.3249 x079;dull upon
8;since;299.821.0962 x6464;cycle onto
9;however;526-614-1773 x25321;humidity carefully gulp
10;smoggy burly practical;1-723-420-7214 x0589;ack
